Carrier,Origin,Destination,Season,Status,Retry Count,Sources Tried,Error,Validation Issues,Elapsed (s)
BR,AMS,BKK,Summer,no_availability,0,,Ubfly: BR not on route AMS-BKK,,80.706
BR,AMS,BKK,Winter,no_availability,0,,Ubfly: BR not on route AMS-BKK,,80.909
BR,BKK,AMS,Winter,no_availability,0,,Ubfly: BR not on route BKK-AMS,,81.881
VS,JFK,DEL,Summer,no_availability,0,,Ubfly: VS not on route JFK-DEL,,89.916
VS,JFK,DEL,Winter,no_availability,0,,Ubfly: VS not on route JFK-DEL,,89.071
BR,HKG,JFK,Summer,no_availability,0,,Ubfly: BR not on route HKG-JFK,,80.42
BR,HKG,JFK,Winter,no_availability,0,,Ubfly: BR not on route HKG-JFK,,82.246
BR,HKG,YYZ,Summer,no_availability,0,,Ubfly: BR not on route HKG-YYZ,,80.324
BR,HKG,YYZ,Winter,no_availability,0,,Ubfly: BR not on route HKG-YYZ,,80.304
OZ,JFK,HKG,Summer,no_availability,0,,Ubfly: OZ not on route JFK-HKG,,71.72
OZ,JFK,HKG,Winter,no_availability,0,,Ubfly: OZ not on route JFK-HKG,,55.497
BR,JFK,HKG,Summer,no_availability,0,,Ubfly: BR not on route JFK-HKG,,17.972
BR,JFK,HKG,Winter,no_availability,0,,Ubfly: BR not on route JFK-HKG,,54.76
BR,YYZ,HKG,Summer,no_availability,0,,Ubfly: BR not on route YYZ-HKG,,56.844
BR,YYZ,HKG,Winter,no_availability,0,,Ubfly: BR not on route YYZ-HKG,,54.904
BR,JFK,TPE,Summer,no_availability,0,,Ubfly: BR not on route JFK-TPE,,48.981
BR,JFK,TPE,Winter,no_availability,0,,Ubfly: BR not on route JFK-TPE,,64.681
TR,SIN,ATH,Summer,no_availability,0,,Ubfly: TR not on route SIN-ATH,,47.306
TR,SIN,ATH,Winter,no_availability,0,,Ubfly: TR not on route SIN-ATH,,85.887
TR,ATH,SIN,Summer,no_availability,0,,Ubfly: TR not on route ATH-SIN,,51.854
TR,ATH,SIN,Winter,no_availability,0,,Ubfly: TR not on route ATH-SIN,,98.732
EK,SJJ,KUL,Summer,no_availability,0,,Ubfly: EK not on route SJJ-KUL,,61.184
EK,SJJ,KUL,Winter,no_availability,0,,Ubfly: EK not on route SJJ-KUL,,34.568
QR,SJJ,KUL,Summer,no_availability,0,,Ubfly: QR not on route SJJ-KUL,,60.381
QR,SJJ,KUL,Winter,no_availability,0,,Ubfly: QR not on route SJJ-KUL,,33.854
MH,SJJ,KUL,Summer,no_availability,0,,Ubfly: MH not on route SJJ-KUL,,59.036
MH,SJJ,KUL,Winter,no_availability,0,,Ubfly: MH not on route SJJ-KUL,,23.941
