Carrier,Origin,Destination,Origin City Code,Origin Country Code,Dest City Code,Dest Country Code,Departure Date,Return Date,Season,Cabin,Brand Order,Tier Code,Raw Brand Name,Normalized Brand Name,Display Price,Calculated Absolute Price,Currency,Source,Fare Family Code,Brand Description,Cabin Baggage,Checked Baggage,Seat Selection,Meal,Lounge,Priority Boarding,Fast Track,Refund,Change,No-Show Refund,No-Show Change,Same Day Earlier Flight,WiFi,Extra Baggage,Sports Equipment,Pet,Mileage Available,Miles Earned,Bonus Percent,Scrape Timestamp,Status,Retry Count
SQ,LHR,SIN,LON,GB,SIN,SG,2026-10-31,2026-11-03,Summer,Economy,0,Eco-1,Basic,Economy Basic,0.00 USD,947.35,USD,Ubfly,YCLVALUE,,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,2026-07-28T11:11:35+00:00,partial,0
SQ,LHR,SIN,LON,GB,SIN,SG,2026-11-03,2026-11-06,Winter,Economy,0,Eco-1,Basic,Economy Basic,0.00 USD,907.43,USD,Ubfly,YCLVALUE,,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,2026-07-28T11:11:35+00:00,partial,0
BA,LHR,SIN,LON,GB,SIN,SG,2026-10-31,2026-11-03,Summer,Economy,0,Eco-1,BASIC,Economy Basic,0.00 USD,1032.56,USD,Ubfly,NOBAG,Personal Item: 40 x 30 x 15 cm,Included,Not Included,Unknown,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,2026-07-28T11:11:35+00:00,partial,0
BA,LHR,SIN,LON,GB,SIN,SG,2026-10-31,2026-11-03,Summer,Economy,1,Eco-2,ECONOMY BASIC,Economy Basic,+36.68 USD,1069.24,USD,Ubfly,BAG,Personal Item: 40 x 30 x 15 cm; 1 Piece Luggage (23 Kg),Included,Included,Unknown,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,2026-07-28T11:11:35+00:00,partial,0
BA,LHR,SIN,LON,GB,SIN,SG,2026-10-31,2026-11-03,Summer,Economy,2,Eco-3,PLUS SELECT,Economy Comfort,+166.36 USD,1198.92,USD,Ubfly,ECONSEL,Personal Item: 40 x 30 x 15 cm; 1 Piece Luggage (23 Kg); Change without penalty before flight,Included,Included,Unknown,Included,Unknown,Unknown,Unknown,Unknown,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,2026-07-28T11:11:35+00:00,partial,0
BA,LHR,SIN,LON,GB,SIN,SG,2026-10-31,2026-11-03,Summer,Economy,3,Eco-4,ECONPRO,Economy — ECONPRO,+232.92 USD,1265.48,USD,Ubfly,ECONPRO,Change without penalty before flight; Personal Item: 40 x 30 x 15 cm; 1 Piece Luggage (23 Kg),Included,Included,Included,Included,Unknown,Unknown,Unknown,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,2026-07-28T11:11:35+00:00,partial,0
BA,LHR,SIN,LON,GB,SIN,SG,2026-10-31,2026-11-03,Summer,Economy,4,Eco-5,PLUS FLEX,Economy Comfort,"+2,389.08 USD",3421.64,USD,Ubfly,ECONFLEX,Change without penalty before flight; Personal Item: 40 x 30 x 15 cm; 1 Piece Luggage (23 Kg),Included,Included,Included,Included,Unknown,Unknown,Unknown,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,2026-07-28T11:11:35+00:00,partial,0
BA,LHR,SIN,LON,GB,SIN,SG,2026-10-31,2026-11-03,Summer,Premium Economy,0,PEco-1,PREMECON,Premium Economy — PREMECON,"+1,677.02 USD",2709.58,USD,Ubfly,PREMECON,Personal Item: 40 x 30 x 15 cm,Included,Included,Unknown,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,2026-07-28T11:11:35+00:00,partial,0
BA,LHR,SIN,LON,GB,SIN,SG,2026-10-31,2026-11-03,Summer,Premium Economy,1,PEco-2,PESEL,Premium Economy — PESEL,"+1,810.11 USD",2842.67,USD,Ubfly,PESEL,Personal Item: 40 x 30 x 15 cm; Change without penalty before flight,Included,Included,Unknown,Included,Unknown,Unknown,Unknown,Unknown,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,2026-07-28T11:11:35+00:00,partial,0
BA,LHR,SIN,LON,GB,SIN,SG,2026-10-31,2026-11-03,Summer,Premium Economy,2,PEco-3,PEPRO,Premium Economy — PEPRO,"+1,909.93 USD",2942.49,USD,Ubfly,PEPRO,Personal Item: 40 x 30 x 15 cm; Change without penalty before flight,Included,Included,Included,Included,Unknown,Unknown,Unknown,Included,Included,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,2026-07-28T11:11:35+00:00,partial,0
